model-1644510502,1644510502.653,0.56,0.2485,0.51,0.2551
model-1644510502,1644510502.675,0.5,0.2588,0.51,0.2498
model-1644510502,1644510502.701,0.62,0.249,0.62,0.249
model-1644510502,1644510502.723,0.55,0.2495,0.52,0.2496
model-1644510502,1644510502.746,0.45,0.251,0.58,0.2493
model-1644510502,1644510502.767,0.54,0.2497,0.4,0.2524
model-1644510502,1644510502.788,0.49,0.2505,0.52,0.2495
model-1644510502,1644510502.815,0.53,0.2491,0.45,0.2525
model-1644510502,1644510502.836,0.44,0.2529,0.59,0.2472
model-1644510502,1644510502.857,0.49,0.2505,0.54,0.249
model-1644510502,1644510502.878,0.52,0.2495,0.55,0.2486
model-1644510502,1644510502.898,0.52,0.2494,0.44,0.2507
model-1644510502,1644510502.921,0.59,0.2477,0.39,0.2524
model-1644510502,1644510502.941,0.53,0.2491,0.52,0.2495
model-1644510502,1644510502.962,0.51,0.2495,0.43,0.2519
model-1644510502,1644510502.978,0.45,0.2512,0.49,0.25
model-1644510502,1644510502.994,0.45,0.2524,0.56,0.2481
model-1644510502,1644510503.011,0.52,0.2501,0.57,0.2485
model-1644510502,1644510503.03,0.5,0.2497,0.56,0.2497
model-1644510502,1644510503.046,0.51,0.2501,0.56,0.2485
model-1644510502,1644510503.065,0.46,0.2499,0.66,0.2486
model-1644510502,1644510503.081,0.65,0.2486,0.41,0.2507
model-1644510502,1644510503.097,0.48,0.2487,0.53,0.2478
model-1644510502,1644510503.118,0.37,0.2526,0.48,0.2488
model-1644510502,1644510503.137,0.58,0.2491,0.5,0.2504
model-1644510502,1644510503.153,0.54,0.2485,0.55,0.2484
model-1644510502,1644510503.169,0.47,0.2508,0.55,0.2484
model-1644510502,1644510503.185,0.49,0.2503,0.58,0.2473
model-1644510502,1644510503.201,0.6,0.2464,0.52,0.2493
model-1644510502,1644510503.218,0.58,0.2469,0.51,0.2498
model-1644510502,1644510503.237,0.39,0.2552,0.45,0.2526
model-1644510502,1644510503.255,0.54,0.2484,0.54,0.2484
model-1644510502,1644510503.271,0.56,0.2476,0.44,0.2534
model-1644510502,1644510503.289,0.55,0.2475,0.49,0.2505
model-1644510502,1644510503.305,0.5,0.2505,0.43,0.2538
model-1644510502,1644510503.321,0.61,0.2442,0.56,0.2465
model-1644510502,1644510503.34,0.54,0.2477,0.47,0.2525
model-1644510502,1644510503.356,0.55,0.2473,0.49,0.2504
model-1644510502,1644510503.371,0.47,0.2523,0.49,0.2507
model-1644510502,1644510503.388,0.51,0.249,0.57,0.2439
model-1644510502,1644510503.404,0.52,0.2476,0.46,0.2496
model-1644510502,1644510503.421,0.55,0.2458,0.51,0.2474
model-1644510502,1644510503.436,0.5,0.2474,0.51,0.2508
model-1644510502,1644510503.458,0.51,0.241,0.49,0.2467
model-1644510502,1644510503.474,0.45,0.2489,0.59,0.2425
model-1644510502,1644510503.491,0.53,0.2446,0.54,0.2465
model-1644510502,1644510503.507,0.58,0.2437,0.58,0.2484
model-1644510502,1644510503.523,0.47,0.2469,0.57,0.2365
model-1644510502,1644510503.54,0.57,0.2488,0.46,0.2481
model-1644510502,1644510503.56,0.63,0.2415,0.65,0.2269
model-1644510502,1644510503.576,0.56,0.2505,0.45,0.2616
model-1644510502,1644510503.592,0.54,0.2497,0.61,0.2349
model-1644510502,1644510503.608,0.48,0.2611,0.61,0.2369
model-1644510502,1644510503.624,0.56,0.2442,0.55,0.2458
model-1644510502,1644510503.64,0.53,0.2376,0.66,0.2317
model-1644510502,1644510503.659,0.67,0.2274,0.67,0.2311
model-1644510502,1644510503.675,0.59,0.24,0.53,0.2454
model-1644510502,1644510503.691,0.53,0.2451,0.59,0.2376
model-1644510502,1644510503.707,0.64,0.235,0.58,0.2374
model-1644510502,1644510503.724,0.56,0.2406,0.57,0.2439
model-1644510502,1644510503.741,0.58,0.2369,0.59,0.235
model-1644510502,1644510503.76,0.63,0.2404,0.65,0.2237
model-1644510502,1644510503.776,0.63,0.2331,0.57,0.2434
model-1644510502,1644510503.792,0.57,0.2382,0.55,0.2499
model-1644510502,1644510503.808,0.55,0.2412,0.59,0.2418
model-1644510502,1644510503.824,0.66,0.2157,0.69,0.2038
model-1644510502,1644510503.841,0.59,0.2342,0.58,0.2348
model-1644510502,1644510503.865,0.56,0.2435,0.58,0.2349
model-1644510502,1644510503.881,0.62,0.2271,0.62,0.2306
model-1644510502,1644510503.897,0.5,0.2692,0.57,0.2402
model-1644510502,1644510503.913,0.52,0.2624,0.6,0.2262
model-1644510502,1644510503.93,0.57,0.235,0.63,0.2248
model-1644510502,1644510503.946,0.58,0.238,0.61,0.2284
model-1644510502,1644510503.965,0.61,0.2344,0.54,0.2342
model-1644510502,1644510503.981,0.56,0.2483,0.62,0.2428
model-1644510502,1644510504.0,0.47,0.26,0.62,0.2478
model-1644510502,1644510504.016,0.62,0.2332,0.64,0.2277
model-1644510502,1644510504.031,0.64,0.2248,0.61,0.2356
model-1644510502,1644510504.048,0.56,0.2402,0.67,0.2307
model-1644510502,1644510504.067,0.64,0.2309,0.64,0.234
model-1644510502,1644510504.083,0.59,0.2462,0.58,0.2369
model-1644510502,1644510504.098,0.63,0.2376,0.6,0.2459
model-1644510502,1644510504.114,0.49,0.2548,0.62,0.2414
model-1644510502,1644510504.134,0.54,0.2535,0.63,0.2263
model-1644510502,1644510504.151,0.68,0.2293,0.57,0.2476
model-1644510502,1644510504.171,0.59,0.2384,0.59,0.2423
model-1644510502,1644510504.187,0.58,0.2437,0.58,0.2398
model-1644510502,1644510504.203,0.56,0.2401,0.65,0.2325
model-1644510502,1644510504.219,0.63,0.2394,0.68,0.2247
model-1644510502,1644510504.235,0.62,0.2368,0.64,0.2311
model-1644510502,1644510504.251,0.56,0.238,0.58,0.2418
model-1644510502,1644510504.271,0.65,0.2337,0.66,0.2266
model-1644510502,1644510504.287,0.66,0.2279,0.56,0.2305
model-1644510502,1644510504.303,0.61,0.2284,0.61,0.2294
model-1644510502,1644510504.319,0.61,0.2273,0.64,0.2235
model-1644510502,1644510504.335,0.64,0.2251,0.59,0.2216
model-1644510502,1644510504.354,0.65,0.2169,0.58,0.2357
model-1644510502,1644510504.373,0.55,0.2426,0.62,0.2351
model-1644510502,1644510504.389,0.66,0.2173,0.65,0.2454
model-1644510502,1644510504.405,0.5,0.2865,0.65,0.2246
model-1644510502,1644510504.422,0.58,0.2371,0.66,0.2156
model-1644510502,1644510504.438,0.67,0.219,0.67,0.2181
model-1644510502,1644510504.454,0.58,0.2524,0.62,0.2252
model-1644510502,1644510504.473,0.62,0.2271,0.71,0.2007
model-1644510502,1644510504.489,0.54,0.2425,0.65,0.2334
model-1644510502,1644510504.508,0.58,0.238,0.56,0.2329
model-1644510502,1644510504.526,0.58,0.2426,0.61,0.2276
model-1644510502,1644510504.541,0.58,0.2561,0.62,0.2306
model-1644510502,1644510504.557,0.56,0.2433,0.63,0.2208
model-1644510502,1644510504.577,0.55,0.2451,0.71,0.2232
model-1644510502,1644510504.592,0.63,0.2376,0.61,0.233
